idOrder,scheduleDate,deliveryDate,diffDays,diffHours,provider,shippingDateSelectedByUser
1946399,2021-08-01 20:08:00,2021-08-02 07:08:00,0,11,800149695,2021-08-04
1946435,2021-08-01 20:08:00,2021-08-04 17:08:00,2,69,800149695,2021-08-04
1946449,2021-08-01 20:08:00,2021-08-04 17:08:00,2,69,800149695,2021-08-04
1946480,2021-08-01 20:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946485,2021-08-01 20:08:00,2021-08-05 02:08:00,3,77,800149695,2021-08-04
1946495,2021-08-01 20:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946497,2021-08-01 20:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946513,2021-08-01 20:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946515,2021-08-01 20:08:00,2021-08-02 07:08:00,0,10,800149695,2021-08-04
1946536,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946537,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946541,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946543,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946558,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946575,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946577,2021-08-01 21:08:00,2021-08-02 07:08:00,0,9,800149695,2021-08-04
1946578,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946588,2021-08-01 21:08:00,2021-08-02 07:08:00,0,9,800149695,2021-08-04
1946592,2021-08-01 21:08:00,2021-08-02 07:08:00,0,9,800149695,2021-08-04
1946600,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946603,2021-08-01 21:08:00,2021-08-02 07:08:00,0,9,800149695,2021-08-04
1946605,2021-08-01 21:08:00,2021-08-04 17:08:00,2,68,800149695,2021-08-04
1946609,2021-08-01 21:08:00,2021-08-02 07:08:00,0,9,800149695,2021-08-04
1946639,2021-08-01 21:08:00,2021-08-05 02:08:00,3,76,800149695,2021-08-04
1946645,2021-08-01 21:08:00,2021-08-04 17:08:00,2,67,800149695,2021-08-04
1946650,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946652,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946656,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946662,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946669,2021-08-01 22:08:00,NN,NN,NN,800149695,2021-08-05
1946677,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946679,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946686,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946699,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946712,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946713,2021-08-01 22:08:00,2021-08-05 19:08:00,3,93,800149695,2021-08-05
1946718,2021-08-01 22:08:00,2021-08-05 19:08:00,3,92,800149695,2021-08-05
1946720,2021-08-01 22:08:00,2021-08-04 08:08:00,2,58,800149695,2021-08-05
1946722,2021-08-01 22:08:00,2021-08-05 19:08:00,3,92,800149695,2021-08-05
1946733,2021-08-01 22:08:00,2021-08-05 19:08:00,3,92,800149695,2021-08-05
1946744,2021-08-01 22:08:00,2021-08-04 10:08:00,2,59,800149695,2021-08-05
1946748,2021-08-01 22:08:00,2021-08-05 19:08:00,3,92,800149695,2021-08-05
1946752,2021-08-01 23:08:00,2021-08-05 19:08:00,3,92,800149695,2021-08-05
1946753,2021-08-01 23:08:00,2021-08-05 19:08:00,3,92,800149695,2021-08-05
1946756,2021-08-01 23:08:00,2021-08-05 19:08:00,3,92,800149695,2021-08-05
1946780,2021-08-01 23:08:00,2021-08-06 02:08:00,4,99,800149695,2021-08-05
1946782,2021-08-01 23:08:00,2021-08-05 19:08:00,3,91,800149695,2021-08-05
1946801,2021-08-02 00:08:00,2021-08-05 19:08:00,3,91,800149695,2021-08-05
1946802,2021-08-02 00:08:00,2021-08-04 17:08:00,2,65,800149695,2021-08-04
1946813,2021-08-02 00:08:00,2021-08-04 17:08:00,2,64,800149695,2021-08-04
1946818,2021-08-02 01:08:00,2021-08-02 23:08:00,0,22,800149695,2021-08-04
1946834,2021-08-02 02:08:00,2021-08-04 17:08:00,2,62,800149695,2021-08-04
1946879,2021-08-02 06:08:00,2021-08-04 17:08:00,2,59,800149695,2021-08-04
